timestamps,TP9,AF7,AF8,TP10,Right AUX
1587068790.065,-61.035,-82.031,-96.191,5.371,0.000
1587068790.069,-92.773,-427.734,-382.324,-0.977,0.000
1587068790.073,-2.930,151.855,-19.043,-38.086,0.000
1587068790.077,49.805,637.695,302.246,-28.320,0.000
1587068790.081,-40.039,-236.816,-219.238,-0.488,0.000
1587068790.085,-123.047,-828.613,-579.590,-15.137,0.000
1587068790.089,-48.340,4.395,-64.941,-39.062,0.000
1587068790.092,54.688,441.406,177.734,-35.156,0.000
1587068790.096,-11.230,160.645,14.160,-13.184,0.000
1587068790.100,-112.793,-458.008,-344.727,-8.301,0.000
1587068790.104,-63.965,-327.148,-239.746,-13.672,0.000
1587068790.108,37.109,431.152,191.895,-28.809,0.000
1587068790.112,8.789,-129.883,-182.129,-29.785,0.000
1587068790.116,-113.281,-597.656,-453.613,-33.691,0.000
1587068790.120,-108.398,13.184,-83.496,-50.293,0.000
1587068790.124,0.488,269.043,130.859,-57.617,0.000
1587068790.128,25.879,351.562,160.645,-30.273,0.000
1587068790.132,-73.242,127.441,24.902,-8.789,0.000
1587068790.135,-118.652,-163.574,-213.379,-36.621,0.000
1587068790.139,-11.719,-81.055,-130.371,-43.457,0.000
1587068790.143,42.480,312.500,194.336,-40.039,0.000
1587068790.147,-41.504,20.996,-99.609,-37.109,0.000
1587068790.151,-130.859,-496.582,-421.387,-51.270,0.000
1587068790.155,-58.594,-401.855,-338.867,-45.410,0.000
1587068790.159,48.340,-179.688,-151.855,-23.438,0.000
1587068790.163,-20.508,234.375,108.398,-28.809,0.000
1587068790.167,-117.676,-132.324,-256.348,-34.180,0.000
1587068790.171,-64.453,-391.113,-383.301,-15.625,0.000
1587068790.175,51.270,28.320,-40.527,-18.555,0.000
1587068790.178,27.344,334.473,157.227,-30.762,0.000
1587068790.182,-96.191,-28.320,-166.504,-32.715,0.000
1587068790.186,-114.746,-396.973,-421.387,-42.969,0.000
1587068790.190,-8.789,140.137,17.090,-49.805,0.000
1587068790.194,16.602,420.410,205.566,-41.504,0.000
1587068790.198,-85.449,-73.730,-129.395,-39.062,0.000
1587068790.202,-130.371,-450.684,-398.926,-54.199,0.000
1587068790.206,-39.062,-14.648,-91.797,-52.246,0.000
1587068790.210,41.016,646.973,277.832,-37.598,0.000
1587068790.214,-36.621,287.598,0.000,-24.902,0.000
1587068790.217,-125.977,-694.824,-515.137,-29.297,0.000
1587068790.221,-68.848,-303.711,-165.039,-55.176,0.000
1587068790.225,33.203,607.910,263.184,-44.922,0.000
1587068790.229,12.207,300.293,12.695,-2.930,0.000
1587068790.233,-97.168,-325.195,-352.539,-16.602,0.000
1587068790.237,-78.125,-170.898,-189.941,-46.387,0.000
1587068790.241,43.945,145.020,104.492,-47.363,0.000
1587068790.245,31.250,-92.773,-106.445,-21.484,0.000
1587068790.249,-101.074,-502.441,-458.496,-20.020,0.000
1587068790.253,-121.582,-310.059,-320.312,-55.664,0.000
1587068790.257,-9.277,306.641,116.699,-61.035,0.000
1587068790.260,30.273,271.973,97.656,-33.203,0.000
1587068790.264,-53.711,-166.504,-163.086,-25.391,0.000
1587068790.268,-108.887,-286.621,-291.504,-39.062,0.000
1587068790.272,-39.551,-19.531,-82.520,-51.758,0.000
1587068790.276,35.645,8.789,-4.395,-35.645,0.000
1587068790.280,-52.246,-177.246,-161.621,-27.344,0.000
1587068790.284,-154.785,-209.473,-259.277,-57.617,0.000
1587068790.288,-90.332,-302.734,-363.770,-56.641,0.000
